SampleID,Country,Latitude,Longitude,pc1,pc2,pc3
SAMP1,Kenya,0°09'09.22''N,34°51'20.48''E,-7.588055865,-1.06398527,-0.368557482
SAMP101,Madagascar,21°16'22.78''S,43°02'51.22''E,-7.591137491,-0.948024774,-2.096071796
SAMP103,Madagascar,21°11'43.65''S,47°09'23.69''E,-7.549526,-0.997013279,-1.227801645
SAMP105,Kenya,"1°13'18.8""S","36°53'47.9""E",-8.015620496,-0.734314416,-1.735211667
SAMP106,Kenya,"1°13'18.8""S","36°53'47.9""E",-7.567579745,-1.366936396,-2.168813182
SAMP107,Morocco,"34°00'22.9""N","6°43'22.0""W",-5.511177018,-0.588695197,0.714316766
SAMP108,Morocco,"34°00'22.9""N","6°43'22.0""W",-5.382160688,-0.521056813,1.183328563
SAMP1085,Mexico,"20°05'83""N","88°77'08""W",-3.666264686,1.284489254,0.235223746
SAMP1087,Mexico,"20°05'83""N","88°77'08""W",-3.875593827,0.087173977,-0.213858897
SAMP11,Kenya,8°09'35.51''N,34°09'35.40''E,-7.598402728,-0.399985807,-1.942259197
SAMP110,Morocco,"34°00'22.9""N","6°43'22.0""W",-5.769076966,-1.086974592,1.252482015
SAMP1105,Mexico,19°42'13''N,103°27'5''W,-3.106643413,0.375890811,-0.318078507
SAMP1106,Mexico,19°42'13''N,103°27'5''W,-1.108100134,1.011173498,-1.54356473
SAMP1109,Mexico,19°42'13''N,103°27'5''W,0.870994064,1.492301108,-1.38900263
SAMP112,Morocco,"31°27'39.3""N","7°51'54.8""W",-5.559502089,-0.573774785,1.776511542
SAMP1135,Mexico,19.0°42.00'13.00''N,103.0°27.00'5.00''W,0.549943664,0.255476993,-0.592398378
SAMP1136,Mexico,19°42'13''N,103°27'5''W,-2.237888803,0.393503073,0.676272971
SAMP1139,Mexico,19°42'13''N,103°27'5''W,-0.151915374,1.895367692,-1.097239212
SAMP114,Morocco,"31°27'39.3""N","7°51'54.8""W",-6.651456862,-0.472105357,1.203599587
SAMP1141,Mexico,19°42'13''N,103°27'5''W,0.442706466,1.320467435,0.274866422
SAMP1147,Mexico,"19°45'00""N","104°01'00""W",-0.378980644,1.605557435,0.319895
SAMP1149,Mexico,"19°45'00""N","104°01'00""W",-1.030747284,0.874811849,2.090794641
SAMP1151,Mexico,"19°45'00""N","104°01'00""W",-3.407757172,0.680571717,0.726768355
SAMP1165,Mexico,19°46'00''N,103°27'54''W,-5.140543224,0.727961622,0.881797652
SAMP1166,Mexico,19°46'00''N,103°27'54''W,-4.860796961,0.86173011,0.996752462
SAMP1168,Mexico,19.0°46.00'0.00''N,103.0°27.00'54.00''W,-3.338846118,1.202564993,1.698693182
SAMP1169,Mexico,"19°46'00""N","103°27'54""W",-3.633463343,0.459130727,0.548093287
SAMP117,Morocco,"31°27'39.3""N","7°51'54.8""W",-5.801055178,-1.323587663,1.540511611
SAMP1175,Mexico,19°34'30''N,"104°07'00""W",-4.507132173,-0.949149457,1.785915137
SAMP1177,Mexico,19°34'30''N,"104°07'00""W",-4.73685171,1.007468788,0.610270952
SAMP1179,Mexico,"19°34'30""N","104°07'00""w",-4.920030659,1.557597537,0.616125993
SAMP1181,Mexico,"19°34'30""N","104°07'00""w",-5.46058512,0.850034686,0.85942838
SAMP1188,Mexico,"19°34'30""N","104°07'00""w",-5.283589476,2.113878163,1.50419328
SAMP119,Morocco,"31°27'39.3""N","7°51'54.8""W",-7.085719666,-0.298534921,1.012098409
SAMP12,Kenya,"8°09'35.51""N","34°09'35.40""E",-7.81928756,-0.895354358,-1.51570635
SAMP1203,Mexico,19.0°37.00'60.00''N,104.0°22.00'0.00''W,-4.957320389,0.133509769,0.25621652
SAMP1204,Mexico,"19°38'00""N","104°22'00""W",-4.565005416,0.275730224,1.069775531
SAMP1205,Mexico,"19°38'00""N","104°22'00""W",-2.837559077,1.069907534,0.759125398
SAMP1207,Mexico,"19°38'00""N","104°22'00""W",-1.449414413,1.109214523,0.32578681
SAMP122,Morocco,34°48'18.9''N,5°28'57.7''W,-5.555931459,-0.333477143,0.907839598
SAMP123,Morocco,"34°48'18.9""N","5°28'57.7""W",-5.704071316,-0.407378018,1.268195597
