ID,Country,Region,Location,Latitude,Longitude,pc1,pc2,pc3
SAMP1,Kenya,Vihiga County,Makuchi,0.152561111,34.85568889,-7.588055865,-1.06398527,-0.368557482
SAMP101,Madagascar,Fianarantsoa,Ambatolahikisoa-Site 9,-21.48983333,47.07033333,-7.591137491,-0.948024774,-2.096071796
SAMP103,Madagascar,Fianarantsoa,Ambalandrotsa,-21.19545833,47.15658056,-7.549526,-0.997013279,-1.227801645
SAMP105,Kenya,Nairobi County,"Nairobi, ICIPE",-1.221888889,36.89663889,-8.015620496,-0.734314416,-1.735211667
SAMP106,Kenya,Nairobi County,"Nairobi, ICIPE",-1.221888889,36.89663889,-7.567579745,-1.366936396,-2.168813182
SAMP107,Morocco,"Rabat-Sal-Keitra (Region), Sal (Province)",Parc Maamoura,34.00636111,-6.722777778,-5.511177018,-0.588695197,0.714316766
SAMP108,Morocco,"Rabat-Sal-Keitra (Region), Rabat (Province)",Rabat   ,34.00636111,-6.722777778,-5.382160688,-0.521056813,1.183328563
SAMP1085,Mexico,Yucatan,San Dionisio,20.10638889,-89.28555556,-3.666264686,1.284489254,0.235223746
SAMP1087,Mexico,Yucatan,San Dionisio,20.10638889,-89.28555556,-3.875593827,0.087173977,-0.213858897
SAMP11,Kenya,Vihiga County,Isiekuti,0.253055556,34.84025,-7.598402728,-0.399985807,-1.942259197
SAMP110,Morocco,"Rabat-Sal-Keitra (Region), Rabat (Province)",Rabat   ,34.00636111,-6.722777778,-5.769076966,-1.086974592,1.252482015
SAMP1105,Mexico,Jalisco ,Zapotla el Grande,19.70361111,-103.4513889,-3.106643413,0.375890811,-0.318078507
SAMP1106,Mexico,Jalisco ,Zapotla el Grande,19.70361111,-103.4513889,-1.108100134,1.011173498,-1.54356473
SAMP1109,Mexico,Jalisco,Zapotlan El Grande,19.70361111,-103.4513889,0.870994064,1.492301108,-1.38900263
SAMP112,Morocco,"Marrakech, Safi (Region), Al Haouz (Province)",Aghmat,31.46091667,-7.865222222,-5.559502089,-0.573774785,1.776511542
SAMP1135,Mexico,Jalisco,Zapotlan el Fresnito,19.70361111,-103.4513889,0.549943664,0.255476993,-0.592398378
SAMP1136,Mexico,Jalisco ,Zapotlan el Fresnito,19.70361111,-103.4513889,-2.237888803,0.393503073,0.676272971
SAMP1139,Mexico,Jalisco ,Zapotlan el Fresnito,19.70361111,-103.4513889,-0.151915374,1.895367692,-1.097239212
SAMP114,Morocco,"Marrakech, Safi (Region), Al Haouz (Province)",Aghmat,31.46091667,-7.865222222,-6.651456862,-0.472105357,1.203599587
SAMP1141,Mexico,Jalisco ,Zapotlan el Fresnito,19.70361111,-103.4513889,0.442706466,1.320467435,0.274866422
SAMP1147,Mexico,Jalisco ,El Limon,19.75,-104.0166667,-0.378980644,1.605557435,0.319895
SAMP1149,Mexico,Jalisco ,El Limon,19.75,-104.0166667,-1.030747284,0.874811849,2.090794641
SAMP1151,Mexico,Jalisco ,El Limon,19.75,-104.0166667,-3.407757172,0.680571717,0.726768355
SAMP1165,Mexico,Jalisco,Autla,19.76666667,-103.465,-5.140543224,0.727961622,0.881797652
SAMP1166,Mexico,Jalisco,Autla,19.76666667,-103.465,-4.860796961,0.86173011,0.996752462
SAMP1168,Mexico,Jalisco,Autla,19.76666667,-103.465,-3.338846118,1.202564993,1.698693182
SAMP1169,Mexico,Jalisco,Autlan,19.76666667,-103.465,-3.633463343,0.459130727,0.548093287
SAMP117,Morocco,"Marrakech, Safi (Region), Al Haouz (Province)",Aghmat,31.46091667,-7.865222222,-5.801055178,-1.323587663,1.540511611
SAMP1175,Mexico,Jalisco ,Mezquitan,19.575,-104.1166667,-4.507132173,-0.949149457,1.785915137
SAMP1177,Mexico,Jalisco ,Mezquitan,19.575,-104.1166667,-4.73685171,1.007468788,0.610270952
SAMP1179,Mexico,Jalisco ,Mezquitan,19.575,-104.1166667,-4.920030659,1.557597537,0.616125993
SAMP1181,Mexico,Jalisco ,Mezquitan,19.575,-104.1166667,-5.46058512,0.850034686,0.85942838
SAMP1188,Mexico,Jalisco,Mezquitan,19.575,-104.1166667,-5.283589476,2.113878163,1.50419328
SAMP119,Morocco,"Marrakech, Safi (Region), Al Haouz (Province)",Aghmat,31.46091667,-7.865222222,-7.085719666,-0.298534921,1.012098409
SAMP12,Kenya,Vihiga County,Isiekuti,0.253055556,34.84025,-7.81928756,-0.895354358,-1.51570635
SAMP1203,Mexico,Jalisco,El Aserradero,19.63333333,-104.3666667,-4.957320389,0.133509769,0.25621652
SAMP1204,Mexico,Jalisco ,El Aserradero,19.63333333,-104.3666667,-4.565005416,0.275730224,1.069775531
SAMP1205,Mexico,Jalisco ,El Aserradero,19.63333333,-104.3666667,-2.837559077,1.069907534,0.759125398
SAMP1207,Mexico,Jalisco ,El Aserradero,19.63333333,-104.3666667,-1.449414413,1.109214523,0.32578681
SAMP122,Morocco,"Tanger, Teouan, Al Hoceia (Region), Ouezzane (Province)",Ouezzane,34.80525,-5.482694444,-5.555931459,-0.333477143,0.907839598
SAMP123,Morocco,"Tanger, Teouan, Al Hoceia (Region), Tangier  (Province)",Tangier,34.80525,-5.482694444,-5.704071316,-0.407378018,1.268195597
SAMP1256,Bolivia,Chuquisaca Department,Culpina,-20.82502778,-64.94436111,-5.595688619,0.331459264,1.089134632
SAMP1257,Bolivia,Chuquisaca Department,"Tarija, Culpina",-20.82536111,-64.94316667,-4.338938722,0.107703762,0.355454908
SAMP1258,Bolivia,Chuquisaca Department,"Tarija, Culpina",-20.82536111,-64.94316667,-3.62115056,0.336721402,2.005732064
SAMP1264,Bolivia,Chuquisaca Department,"Tarija, Huayco (E. Rios)",-21.52705556,-64.17455556,-5.583645216,0.376964151,0.669203616
SAMP1265,Bolivia,Chuquisaca Department,"Tarija, Huayco (E. Rios)",-21.52705556,-64.17455556,-4.470828078,-0.343310101,1.62538435
SAMP1266,Bolivia,Chuquisaca Department,"Tarija, Huayco (E. Rios)",-21.52705556,-64.17455556,-4.658867312,-0.427726495,2.019719167
SAMP1270,Bolivia,Chuquisaca Department,Candua,-19.80608333,-63.99630556,-5.029629363,0.337351732,0.22836277
SAMP1271,Bolivia,Chuquisaca Department,Candua (R. Banado),-20.31816667,-64.18530556,-3.587503937,0.414201938,1.076942343
SAMP1272,Bolivia,Chuquisaca Department,Candua (R. Banado),-20.31816667,-64.18530556,-4.094007797,0.939343389,0.670473593
SAMP1273,Bolivia,Chuquisaca Department,Sucre (Chaupi Molino),-17.7165,-65.88347222,-5.708436425,1.517956987,2.660041493
SAMP1274,Bolivia,Chuquisaca Department,Sucre (Chaupi Molino),-17.7165,-65.88347222,-5.327243526,1.01807323,0.499952405
SAMP1275,Bolivia,Chuquisaca Department,Tiyu Mayu,-19.63125,-64.37147222,-5.1536102,0.394606141,0.985618148
SAMP1276,Bolivia,Chuquisaca Department,Tiyu Mayu,-19.63125,-64.37147222,-5.122268327,1.252297713,1.543936288
SAMP1277,Bolivia,Chuquisaca Department,Monteagudo,-19.80880556,-63.97427778,-5.989806324,0.032860747,-0.098906346
SAMP1278,Bolivia,Chuquisaca Department,Monteagudo,-19.80880556,-63.97427778,-5.417954847,0.930262595,2.358789859
SAMP1279,Bolivia,Chuquisaca Department,Yotala,-19.15663889,-65.26763889,-3.729549017,1.207778114,1.876496997
SAMP1280,Bolivia,Chuquisaca Department,Yotala,-19.15663889,-65.26763889,-4.621522685,0.43359973,0.512305289
SAMP1281,Bolivia,Chuquisaca Department,Monteagudo,-19.80880556,-63.97427778,-5.321055313,0.522539236,0.556126081
SAMP1282,Bolivia,Chuquisaca Department,Monteagudo,-19.80880556,-63.97427778,-5.287108986,0.805473479,1.136507143
SAMP1283,Bolivia,La Paz Department,Palos Blancos,-15.58394444,-67.24758333,-5.889294596,0.67590457,1.455930662
SAMP1284,Bolivia,La Paz Department,Palos Blancos,-15.58394444,-67.24758333,-6.076283798,0.053807378,-0.616075859
SAMP1285,Bolivia,La Paz Department,Sapecho,-15.55777778,-67.33266667,-5.238621723,-0.389729588,2.082617639
SAMP1286,Bolivia,La Paz Department,Sapecho,-15.55777778,-67.33266667,-7.030082632,-0.147787674,0.271473457
SAMP1287,Bolivia,La Paz Department,Cajuata,-16.46816667,-68.17777778,-5.408069824,0.19141458,0.953092041
SAMP1288,Bolivia,La Paz Department,Cajuata,-16.46816667,-68.17777778,-5.12511825,0.018507069,1.856284408
SAMP1289,Bolivia,La Paz Department,Caranavi,-15.82883333,-67.56352778,-6.285106214,0.125498353,-0.563849282
SAMP1290,Bolivia,La Paz Department,Caranavi,-15.82883333,-67.56352778,-5.614636135,0.660350485,1.155763703
SAMP1291,Bolivia,La Paz Department,Irupana,-16.47272222,-67.45308333,-4.934960499,0.601448589,0.743606081
SAMP1292,Bolivia,La Paz Department,Irupana,-16.47272222,-67.45308333,-5.536744376,0.727756894,-1.050097813
SAMP1293,Bolivia,La Paz Department,Apolo,-14.71980556,-68.41302778,-7.002886624,0.112000922,0.428937751
SAMP1294,Bolivia,La Paz Department,Apolo,-14.71980556,-68.41302778,-5.412335681,0.029930081,0.921451379
SAMP1295,Bolivia,La Paz Department,Zongo,-16.10105556,-68.05191667,-2.176741595,1.59186488,-0.013451619
SAMP1296,Bolivia,La Paz Department,Zongo,-16.10105556,-68.05191667,-1.76184107,1.349159393,-0.140185379
SAMP1298,Bolivia,Santa Cruz Department,La Guardia,-17.89263889,-63.33313889,-6.171496529,1.212510572,0.475242443
SAMP1299,Bolivia,Santa Cruz Department,La Guardia,-17.89263889,-63.33313889,-6.264179273,0.293798523,0.949195753
SAMP13,Kenya,Kakamega County,Furaha,0.294719444,34.51528056,-7.75250904,-0.299534367,-1.466093418
SAMP1300,Bolivia,Santa Cruz Department,La Guardia,-17.89263889,-63.33313889,-5.17896473,1.092736168,1.520602469
SAMP1301,Bolivia,Santa Cruz Department,Yapacani (San German),-17.40108333,-63.88091667,-5.862213715,-0.021199772,0.712872259
SAMP1303,Bolivia,Santa Cruz Department,Yapacani (San German),-17.40108333,-63.88091667,-5.849417283,0.682553735,1.275998343
SAMP1304,Bolivia,Santa Cruz Department,Yapacani (San German),-17.40108333,-63.88091667,-5.330991906,0.237002843,1.509817785
SAMP1306,Bolivia,Santa Cruz Department,Pailon,-17.66675,-62.71830556,-5.719056784,0.027557605,1.399118352
SAMP1307,Bolivia,Santa Cruz Department,Pailon,-17.66675,-62.71830556,-5.331794063,0.449948453,0.379143587
SAMP1308,Bolivia,Santa Cruz Department,Pailon,-17.66675,-62.71830556,-5.823177548,-0.084254657,1.476927194
SAMP1310,Bolivia,Santa Cruz Department,Abapo,-18.90063889,-63.39591667,-4.827224211,-0.38794724,1.238414776
SAMP1311,Bolivia,Santa Cruz Department,Abapo,-18.90063889,-63.39591667,-5.948942136,0.216832815,1.373435296
SAMP1312,Bolivia,Santa Cruz Department,Abapo,-18.90063889,-63.39591667,-4.440621114,0.048961492,0.105175331
SAMP1314,Bolivia,Cochabamba Department,Santiba_z,-17.39405556,-66.15733333,-7.164072511,0.67683184,1.640952602
SAMP1315,Bolivia,Cochabamba Department,Santiba_z,-17.39405556,-66.15733333,-6.418053084,1.165848589,1.384044063
SAMP1316,Bolivia,Cochabamba Department,Santiba_z,-17.39405556,-66.15733333,-7.432617177,0.431407491,1.76701542
SAMP1318,Bolivia,Cochabamba Department,Central Agraria la Union (Villa Tunari),-16.97152778,-65.42186111,-3.759419424,0.78471491,0.212025574
SAMP1319,Bolivia,Cochabamba Department,Central Agraria la Union (Villa Tunari),-16.97152778,-65.42186111,-2.87990275,1.212196868,1.578805205
SAMP1320,Bolivia,Cochabamba Department,Central Agraria la Union (Villa Tunari),-16.97152778,-65.42186111,-3.199682883,1.227009532,0.55772368
SAMP1321,Bolivia,Cochabamba Department,Santa Ana (Mizque),-17.93969444,-65.33752778,-4.807789313,-0.985354973,0.062854478
SAMP1322,Bolivia,Cochabamba Department,Santa Ana (Mizque),-17.93969444,-65.33752778,-4.338395385,-0.368927022,0.323232692
SAMP1323,Bolivia,Cochabamba Department,Ojo de agua (Mizque),-17.94238889,-65.34825,-4.218443172,1.326986977,1.77767263
SAMP1324,Bolivia,Cochabamba Department,Ojo de agua (Mizque),-17.94238889,-65.34825,-4.571142221,1.08183397,0.72327656
SAMP1325,Bolivia,Cochabamba Department,T'onker Moqo (Mizque),-17.94419444,-65.34097222,-5.432835559,0.034846569,0.869396917
SAMP1326,Bolivia,Cochabamba Department,T'onker Moqo (Mizque),-17.94419444,-65.34097222,-4.697758727,-0.301523512,1.63960821
SAMP1327,Bolivia,Cochabamba Department,Sucho Independencia,-17.08047222,-66.81433333,-5.018680319,1.666058703,0.815193966
SAMP1328,Bolivia,Cochabamba Department,Sucho Independencia,-17.08047222,-66.81433333,-5.934002443,0.671358364,0.568275616
SAMP1330,Bolivia,Cochabamba Department,Pajcha-Independencia,-18.94955556,-65.00005556,-4.111842353,0.427000686,0.212608913
SAMP1331,Panama,Guna Yala Comarca,Playon Chico,9.303444444,-78.23663889,-5.472926829,0.536162313,1.813383644
SAMP1332,Panama,Guna Yala Comarca,Playon Chico,9.303444444,-78.23663889,-6.52774538,0.263644744,1.162618421
SAMP1333,Panama,Guna Yala Comarca,Playon Chico,9.303444444,-78.23663889,-5.807659768,0.049013656,0.679641133
SAMP1334,Panama,Darien Province,Meteti,8.466305556,-77.94822222,-5.155596862,0.32782496,1.673432547
SAMP1335,Panama,Darie Province,Meteti,8.466305556,-77.94822222,-6.195622239,-0.269102376,0.415738027
SAMP1337,Panama,Darie Province,Meteti,8.466305556,-77.94822222,-5.254388251,-0.241096065,2.129991924
SAMP1338,Panama,Darien Province,Meteti,8.472111111,-77.95286111,-5.433459502,-0.109504727,0.89569288
SAMP1340,Panama,Darien Province,Meteti,8.472111111,-77.95286111,-5.152369446,-0.589697199,0.27496333
SAMP1345,Panama,Darie Province,Meteti,8.466305556,-77.94822222,-6.476179262,-0.633751524,0.91953616
SAMP1347,Panama,Darien Province,Meteti,8.472111111,-77.95286111,-5.627934951,0.536458118,0.472240375
SAMP1351,Panama,West Panama Province,Arraijan,8.466305556,-77.94822222,-3.972884396,-1.023798006,0.257761936
SAMP1353,Panama,West Panama Province,Arraijan,9.002722222,-79.77680556,-6.607755289,0.479014612,-0.090333707
SAMP1355,Panama,West Panama Province,Arraijan,9.002444444,-79.79055556,-7.191053257,1.2882034,1.245216994
SAMP1356,Panama,West Panama Province,Arraijan,9.002444444,-79.79055556,-6.684661419,0.404705577,1.790716062
SAMP1357,Panama,West Panama Province,Arraijan,9.002722222,-79.77680556,-6.791539566,-0.160686735,0.025826043
SAMP1359,Panama,Cocle Province,Aguadulce,8.257027778,-80.54188889,-6.17000661,-0.441004799,0.776417185
SAMP1360,Panama,Cocle Province,Aguadulce,8.257027778,-80.54188889,-6.4886273,-0.194006976,-0.406331995
SAMP1361,Panama,Cocle Province,Aguadulce,8.257027778,-80.54188889,-5.927049723,0.228784689,0.044759816
SAMP1362,Panama,Cocle Province,Aguadulce,8.257027778,-80.54188889,-6.560570047,0.517760501,0.687134225
SAMP1363,Panama,Herrera Province,Ocu,8.079,-80.76186111,-6.034255575,1.229943735,1.703323367
SAMP1364,Panama,Herera Province,Ocu,8.079,-80.76186111,-6.691820972,0.539274806,1.287626498
SAMP1366,Panama,Herera Province,Ocu,8.079,-80.76186111,-6.032623591,0.847626764,0.169569408
SAMP1367,Panama,Veraguas Province,Santa Fe,8.42275,-81.05455556,-5.563208826,0.139438071,0.655098658
SAMP1368,Panama,Veraguas Province,Santa Fe,8.42275,-81.05455556,-5.768680659,-0.104097785,0.345853694
SAMP1369,Panama,Veraguas,Santa F,8.42275,-81.05455556,-6.389872348,-0.194502761,-0.312219042
SAMP1370,Panama,Veraguas,Santa F,8.42275,-81.05455556,-5.384772502,-0.02997282,0.016303745
SAMP1371,Panama,Chiriqui Province,Gualaca,8.521194444,-82.19394444,-5.744517618,0.384399612,0.344666424
SAMP1374,Panama,Chiriqui Province,Gualaca,8.521194444,-82.19394444,-7.241552891,-0.321110827,0.109228586
SAMP1377,Panama,Chiriqui Province,Canaza,8.543388889,-82.66883333,-6.553297963,-0.727262125,0.470138924
SAMP1379,Panama,Chiriqui Province,Mirador,8.608694444,-82.63305556,-6.5765527,0.296078012,0.050080033
SAMP138,Morocco,"Tanger, Teouan, Al Hoceia (Region), Ouezzane  (Province)",Ouezzane,34.80525,-5.482694444,-6.207520058,-0.391366634,1.631966612
SAMP1382,Panama,Chiriqui Province,Gariche,8.470222222,-82.77769444,-6.037841317,0.242066906,0.480131384
SAMP1383,Panama,Darie Province,Gariche,8.470222222,-82.77769444,-5.770368291,-0.486384363,-0.768989263
SAMP1385,Panama,Chiriqui Province,La Libertad,8.506916667,-82.78463889,-5.936910198,0.273651374,1.513149492
SAMP1386,Panama,Darie Province,"La Libertad, Santa Fe",8.506916667,-82.78463889,-5.684334907,0.397016501,0.849522051
SAMP1387,Panama,Darie Province,"La Libertad, Santa Fe",8.506916667,-82.78463889,-5.685295408,0.623567932,-1.251596837
SAMP1388,Panama,Darie Province,"La Libertad, Santa Fe",8.506916667,-82.78463889,-5.981523044,0.447963038,0.273520629
SAMP1389,Costa Rica,San Jose Province,"San Andres District, Leon Cortes Castro",9.718336111,-84.057925,-3.151551902,1.44633851,0.695061264
SAMP139,Morocco,"Tanger, Teouan, Al Hoceia (Region), Tangier  (Province)",Tangier,34.80525,-5.482694444,-6.101117796,-0.132679917,1.512653148
SAMP1390,Costa Rica,San Jose Province,"San Andres District, Leon Cortes Castro",9.718336111,-84.057925,-3.465998637,0.06460553,-0.656514223
SAMP1391,Costa Rica,San Jose Province,Brasil District,9.937069444,-84.23271944,-5.299225019,0.938339476,0.273551285
SAMP1392,Costa Rica,Santa Ana Province,Brasil District,9.937069444,-84.23271944,-5.587054139,0.555454215,0.734194379
SAMP1393,Costa Rica,Cartago Province,Birrisito Paraiso,9.857019444,-83.83918333,-5.262090662,0.272227937,1.260751489
SAMP1394,Costa Rica,Cartago Province,Birrisito Paraiso,9.857019444,-83.83918333,-5.980527693,0.121222439,-0.867007435
SAMP1395,Costa Rica,Alajuela Province,San Ramon,10.08616944,-84.47949167,-4.984968069,1.276037185,1.1127861
SAMP1396,Costa Rica,Alajuela Province,San Ramon,10.08616944,-84.47949167,-4.585604675,-0.397447204,0.893949564
SAMP1397,Costa Rica,Guanacaste Province,Santa Cruz,10.29958889,-84.59535,-4.678059873,-0.390615912,-0.92999914
SAMP1398,Costa Rica,Guanacaste Province,Santa Cruz,10.29958889,-84.59535,-4.815378108,-0.049630317,1.127373029
SAMP1399,Argentina,Chaco Province,Saenz Pena,-26.80044167,-60.43123611,-4.188061931,0.104007762,1.659443046
